Rank,"Previous Rank","First Appearance","First Rank",Name,Computer,Site,Manufacturer,Country,Year,Segment,"Total Cores","Accelerator/Co-Processor Cores","Rmax [TFlop/s]","Rpeak [TFlop/s]",Nmax,Nhalf,"HPCG [TFlop/s]","Power (kW)","Power Source","Power Effeciency [GFlops/Watts]",Architecture,Processor,"Processor Technology","Processor Speed (MHz)","Operating System","OS Family",Accelerator/Co-Processor,"Cores per Socket","Processor Generation","System Model","System Family","Interconnect Family",Interconnect,Region,Continent,"Site ID","System ID"
415,317,51,303,"Internet Company T FF1","Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet","Service Provider T",Lenovo,China,2018,Industry,29920,,1316.84,2393.6,3789696,,,,,,Cluster,"Xeon Gold 6133 20C 2.5GHz","Intel Skylake",2500,Linux,Linux,None,20,"Xeon Gold","ThinkSystem HR650X","Lenovo ThinkSystem","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50329,179351
416,318,52,242,,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet","Cloud Company",Sugon,China,2018,Industry,28884,26560,1314,2319.286,801000,,,165,Submitted,7.964,Cluster,"Xeon E5-2680v4 14C 2.4GHz","Intel Broadwell",2400,CentOS,Linux,"NVIDIA Tesla V100",14,"Intel Xeon E5 (Broadwell)","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50775,179550
417,319,51,151,"JOLIOT-CURIE KNL","Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2",CEA/TGCC-GENCI,Atos,France,2017,Research,56304,,1311.33,2339.6352,2967552,,37.302,326,Submitted,4.022,Cluster,"Intel Xeon Phi 7250 68C 1.4GHz","Intel Xeon Phi",1400,"bullx SCS",Linux,None,68,"Intel Xeon Phi","Bull Sequana X1000","Bull Sequana","Custom Interconnect","Bull BXI 1.2","Western Europe",Europe,50414,179394
418,320,50,96,AIGIS,"Sugon Cluster W780I, Xeon E5-2630v4 10C 2.2GHz, NVIDIA Tesla P100, Infiniband FDR",Government,Sugon,China,2017,Government,24400,22400,1307,1950.4,1135000,,,300,Submitted,4.357,Cluster,"Xeon E5-2630v4 10C 2.2GHz","Intel Broadwell",2200,CentOS,Linux,"NVIDIA Tesla P100",10,"Intel Xeon E5 (Broadwell)","Sugon Cluster W780I","Sugon Cluster",Infiniband,"Infiniband FDR","Eastern Asia",Asia,50366,179254
419,321,52,245,,"Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet","Internet Company",Sugon,China,2018,Industry,76000,,1306,2675.2,6514000,,,790,Submitted,1.653,Cluster,"Xeon E5-2630v4 10C 2.2GHz","Intel Broadwell",2200,CentOS,Linux,None,10,"Intel Xeon E5 (Broadwell)","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50761,179560
420,,54,420,NA-1,"ZettaScaler-2.2, Xeon D-1571 16C 1.3GHz, Infiniband EDR, PEZY-SC2 700Mhz","PEZY Computing K.K.","PEZY Computing / Exascaler Inc.",Japan,2020,Industry,1271040,1269760,1303.222,1790.976,1587200,,,80.17,Submitted,16.256,Cluster,"Xeon D-1571 16C 1.3GHz","Intel Broadwell",1300,CentOS,Linux,"PEZY-SC2 700Mhz",16,"Intel Xeon E5 (Broadwell)",ZettaScaler-2.2,"Pezy/Exascaler Cluster",Infiniband,"Infiniband EDR","Eastern Asia",Asia,50638,179805
421,322,47,63,Cobalt,"bullx DLC 720, Xeon E5-2680v4 14C 2.4GHz, Infiniband EDR","Commissariat a l'Energie Atomique (CEA)/CCRT",Atos,France,2016,Research,38528,,1299.47,1479.475,3843648,,23.216,539,Submitted,2.411,Cluster,"Xeon E5-2680v4 14C 2.4GHz","Intel Broadwell",2400,"bullx SCS",Linux,None,14,"Intel Xeon E5 (Broadwell)","bullx DLC 720","Bull Bullx",Infiniband,"Infiniband EDR","Western Europe",Europe,50207,178806
422,323,52,247,Ansel,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100",DOE/NNSA/LLNL,"IBM / NVIDIA / Mellanox","United States",2018,Research,19656,17280,1289,1686.571,1345536,,,,,,Cluster,"IBM POWER9 22C 3.1GHz",Power,3100,"Red Hat Enterprise Linux",Linux,"NVIDIA Tesla V100",22,"IBM POWER9","IBM Power System AC922"," IBM Power Systems",Infiniband,"Dual-rail Mellanox EDR Infiniband","North America",Americas,49763,179568
423,324,52,248,,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, Infiniband FDR","Chendu SC Center",Sugon,China,2018,Government,47040,,1286,1806.336,4653000,,,504,Submitted,2.552,Cluster,"Xeon E5-2680v4 14C 2.4GHz","Intel Broadwell",2400,CentOS,Linux,None,14,"Intel Xeon E5 (Broadwell)","Sugon TC6000","Sugon Cluster",Infiniband,"Infiniband FDR","Eastern Asia",Asia,50789,179556
424,325,45,45,Conrad,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect , Intel Xeon Phi 5120D","Navy DSRC",Cray/HPE,"United States",2015,Government,61256,10248,1285.6,2049.602,4838400,,,2323.71,Submitted,0.553,MPP,"Xeon E5-2698v3 16C 2.3GHz","Intel Haswell",2300,"Cray Linux Environment ",Linux,"Intel Xeon Phi 5120D",16,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","North America",Americas,50425,178520
425,326,45,44,Gordon,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect , Intel Xeon Phi 5120D","Navy DSRC",Cray/HPE,"United States",2015,Government,61256,10248,1285.6,2049.602,4838400,,,2323.71,Submitted,0.553,MPP,"Xeon E5-2698v3 16C 2.3GHz","Intel Haswell",2300,"Cray Linux Environment ",Linux,"Intel Xeon Phi 5120D",16,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","North America",Americas,50425,178521
