Rank,"Previous Rank","First Appearance","First Rank",Name,Computer,Site,Manufacturer,Country,Year,Segment,"Total Cores","Accelerator/Co-Processor Cores","Rmax [TFlop/s]","Rpeak [TFlop/s]",Nmax,Nhalf,"HPCG [TFlop/s]","Power (kW)","Power Source","Power Effeciency [GFlops/Watts]",Architecture,Processor,"Processor Technology","Processor Speed (MHz)","Operating System","OS Family",Accelerator/Co-Processor,"Cores per Socket","Processor Generation","System Model","System Family","Interconnect Family",Interconnect,Region,Continent,"Site ID","System ID"
118,103,51,78,Makman-3,"PowerEdge R440/C6320p, Intel Xeon Phi 7250/Xeon Gold 6130 16C 2.1GHz, Intel Omni-Path","Saudi Aramco","Dell EMC","Saudi Arabia",2018,Industry,53300,,2322.46,3581.76,4171000,,,608,Submitted,3.82,Cluster,"Xeon Gold 6130 16C 2.1GHz","Intel Skylake",2100,"RHEL 7.4",Linux,None,16,"Xeon Gold","PowerEdge R440","Dell PowerEdge Cluster",Omnipath,"Intel Omni-Path","Western Asia",Asia,48751,179437
119,104,53,104,F1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet","Service Provider T",Lenovo,China,2019,Industry,56000,,2317.95,4480,5184768,,,,,,Cluster,"Xeon Gold 6133 20C 2.5GHz","Intel Skylake",2500,Linux,Linux,None,20,"Xeon Gold","ThinkSystem HR650X","Lenovo ThinkSystem","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50329,179654
120,,54,120,Longhorn,"IBM Power System AC922, IBM POWER9 20C 3.6GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR","Texas Advanced Computing Center/Univ. of Texas",IBM,"United States",2019,Academic,37440,33280,2288,2867.405,1677312,,,,,,Cluster,"IBM POWER9 20C 3.6GHz",Power,3600,"Redhat Linux",Linux,"NVIDIA Tesla V100 SXM2",20,"IBM POWER9","IBM Power System AC922"," IBM Power Systems",Infiniband,"Infiniband EDR","North America",Americas,48958,179714
121,105,51,79,,"Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet","Internet Service P",Inspur,China,2017,Industry,55104,52480,2287,4890,1049000,,,,,,Cluster,"Xeon Gold 6130 16C 2.1GHz","Intel Skylake",2100,CentOS,Linux,"NVIDIA Tesla V100",16,"Xeon Gold","Inspur TS10000","Inspur Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50759,179386
122,106,53,106,Béluga,"Dell EMC PowerEdge R640, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, Infiniband EDR","Calcul Québec/Compute Canada","Dell EMC",Canada,2019,Academic,72480,55040,2278,7494.784,2959104,790272,,240,Submitted,9.492,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,CentOS,Linux,"NVIDIA Tesla V100",20,"Xeon Gold","Dell EMC PowerEdge R640","Dell PowerEdge Cluster",Infiniband,"Infiniband EDR","North America",Americas,50800,179605
123,107,52,87,Cumulus,"PowerEdge C6420/C6320, Intel Xeon Phi 7210/Xeon Gold 6142F 16C 2.6GHz, Intel Omni-Path","University of Cambridge","Dell EMC","United Kingdom",2018,Academic,50176,,2271.38,2688,3928320,,,530,Submitted,4.286,Cluster,"Xeon Gold 6142F 16C 2.6GHz","Intel Skylake",2600,"Scientific Linux",Linux,None,16,"Xeon Gold","PowerEdge C6420/C6320","Dell PowerEdge Cluster",Omnipath,"Intel Omni-Path","Northern Europe",Europe,49143,179577
124,108,45,27,Makman-2,"Dell PowerEdge R630, Xeon E5-2680v3 12C 2.5GHz, Infiniband QDR","Saudi Aramco","Dell EMC","Saudi Arabia",2015,Industry,76032,,2249.68,3041.28,4460544,,,1134,Submitted,1.984,Cluster,"Xeon E5-2680v3 12C 2.5GHz","Intel Haswell",2500,"Redhat Enterprise Linux 6.5",Linux,None,12,"Intel Xeon E5 (Haswell)","Dell PowerEdge R630","Dell PowerEdge Cluster",Infiniband,"Infiniband QDR","Western Asia",Asia,48751,178606
125,109,53,109,G1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet","Service Provider T",Lenovo,China,2019,Industry,54000,,2242.94,4320,5091072,,,,,,Cluster,"Xeon Gold 6133 20C 2.5GHz","Intel Skylake",2500,Linux,Linux,None,20,"Xeon Gold","ThinkSystem HR650X","Lenovo ThinkSystem","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50329,179653
126,110,53,110,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet","Internet Company",Sugon,China,2019,Industry,67200,,2192,4515.84,5097000,,,740,Submitted,2.962,Cluster,"Xeon Gold 6130 16C 2.1GHz","Intel Skylake",2100,CentOS,Linux,None,16,"Xeon Gold","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50743,179672
127,111,43,80,Prolix2,"bullx DLC 720, Xeon E5-2698v4 20C 2.2GHz, Infiniband FDR","Meteo France",Atos,France,2014,Research,72000,,2167.99,2534.4,3511032,,35.348,830.4,Submitted,2.611,Cluster,"Xeon E5-2698v4 20C 2.2GHz","Intel Broadwell",2200,"bullx SCS",Linux,None,20,"Intel Xeon E5 (Broadwell)","bullx DLC 720","Bull Bullx",Infiniband,"Infiniband FDR","Western Europe",Europe,48356,178429
128,112,53,112,H1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet","Service Provider T",Lenovo,China,2019,Industry,52000,,2166.52,4160,4995840,,,,,,Cluster,"Xeon Gold 6133 20C 2.5GHz","Intel Skylake",2500,Linux,Linux,None,20,"Xeon Gold","ThinkSystem HR650X","Lenovo ThinkSystem","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50329,179652
129,,54,129,,"Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, Infiniband EDR","Internet Service (S)",Inspur,China,2019,Industry,49800,48000,2164,4423.68,1436000,,,,,,Cluster,"Xeon Gold 6146 12C 3.2GHz","Intel Skylake",3200,Linux,Linux,"NVIDIA Tesla V100",12,"Xeon Gold","Inspur NF5468M5","Inspur Cluster",Infiniband,"Infiniband EDR","Eastern Asia",Asia,50817,179766
130,,54,130,,"Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, Infiniband EDR","Internet Service (S)",Inspur,China,2019,Industry,49800,48000,2164,4423.68,1436000,,,,,,Cluster,"Xeon Gold 6146 12C 3.2GHz","Intel Skylake",3200,Linux,Linux,"NVIDIA Tesla V100",12,"Xeon Gold","Inspur NF5468M5","Inspur Cluster",Infiniband,"Infiniband EDR","Eastern Asia",Asia,50817,179767
131,,54,131,,"Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, Infiniband EDR","Internet Service (S)",Inspur,China,2019,Industry,49800,48000,2164,4423.68,1436000,,,,,,Cluster,"Xeon Gold 6146 12C 3.2GHz","Intel Skylake",3200,Linux,Linux,"NVIDIA Tesla V100",12,"Xeon Gold","Inspur NF5468M5","Inspur Cluster",Infiniband,"Infiniband EDR","Eastern Asia",Asia,50817,179768
132,113,48,51,Beaufix2,"bullx DLC 720, Xeon E5-2698v4 20C 2.2GHz, Infiniband FDR","Meteo France",Atos,France,2016,Research,73440,,2157.41,2585.088,3529680,,35.348,830.2,Submitted,2.599,Cluster,"Xeon E5-2698v4 20C 2.2GHz","Intel Broadwell",2200,"bullx SCS",Linux,None,20,"Intel Xeon E5 (Broadwell)","bullx DLC 720","Bull Bullx",Infiniband,"Infiniband FDR","Western Europe",Europe,48356,178962
133,114,53,114,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet","Internet Company",Sugon,China,2019,Industry,121920,,2152,8973.312,6472000,,,1625,Submitted,1.324,Cluster,"Xeon Gold 5118 12C 2.3GHz","Intel Skylake",2300,Linux,Linux,None,12,"Xeon Gold","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50743,179678
134,,54,134,,"ThinkSystem SR650, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet","DJIT Company",Lenovo,China,2019,Industry,96640,,2129.54,7112.704,7614720,,,,,,Cluster,"Xeon Gold 5218 16C 2.3GHz","Intel Skylake",2300,Linux,Linux,None,16,"Xeon Gold","ThinkSystem SR650","Lenovo ThinkSystem","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50787,179755
135,,54,135,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, Infiniband EDR","Xinjiang SC Center",Sugon,China,2019,Government,44720,41600,2115,3903.432,507000,,,265,Submitted,7.981,Cluster,"Xeon Gold 5118 12C 2.3GHz","Intel Skylake",2300,CentOS,Linux,"NVIDIA Tesla V100",12,"Xeon Gold","Sugon TC6000","Sugon Cluster",Infiniband,"Infiniband EDR","Eastern Asia",Asia,50790,179729
136,115,53,115,,"INSPUR NF5288M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 100G Ethernet","Internet Company",Inspur,China,2018,Industry,53760,51200,2109,4652.032,1483000,,,,,,Cluster,"Xeon Gold 6130 16C 2.1GHz","Intel Skylake",2100,CentOS,Linux,"NVIDIA Tesla V100",16,"Xeon Gold","INSPUR NF5288M5","Inspur Cluster","Gigabit Ethernet","100G Ethernet","Eastern Asia",Asia,50743,179610
137,133,53,133,MagicCube3,"Sugon TC6000, Xeon Gold 6142 16C 2.6GHz, Intel Omni-Path, NVIDIA Tesla V100","Shanghai Supercomputer Center",Sugon,China,2019,Research,40960,5120,2109,3434.086,5153000,,,430,Submitted,4.905,Cluster,"Xeon Gold 6142 16C 2.6GHz","Intel Skylake",2600,CentOS,Linux,"NVIDIA Tesla V100",16,"Xeon Gold","Sugon TC6000","Sugon Cluster",Omnipath,"Intel Omni-Path","Eastern Asia",Asia,49697,179695
138,116,53,116,I1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet","Service Provider T",Lenovo,China,2019,Industry,50000,,2094,4000,4899072,,,,,,Cluster,"Xeon Gold 6133 20C 2.5GHz","Intel Skylake",2500,Linux,Linux,None,20,"Xeon Gold","ThinkSystem HR650X","Lenovo ThinkSystem","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50329,179651
139,117,51,83,"ATERUI II ","Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ","National Astronomical Observatory of Japan",Cray/HPE,Japan,2018,Academic,40000,,2089.98,3072,4915200,,36.642,495.86,Submitted,4.215,MPP,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,"Cray Linux Environment ",Linux,None,20,"Xeon Gold","Cray XC50","Cray XC","Custom Interconnect","Aries interconnect ","Eastern Asia",Asia,50097,179419
140,,54,140,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 25G Ethernet","Internet Service U",Sugon,China,2019,Others,44032,40960,2087,3843.379,503000,,,260,Submitted,8.027,Cluster,"Xeon Gold 5118 12C 2.3GHz","Intel Skylake",2300,CentOS,Linux,"NVIDIA Tesla V100",12,"Xeon Gold","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50777,179730
141,,54,141,,"Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet","Service Provider T",Inspur,China,2019,Industry,48160,44800,2078,4225.2,1387000,,,,,,Cluster,"Xeon Platinum 8163 24C 2.5GHz","Intel Skylake",2500,Linux,Linux,"NVIDIA Tesla V100",24,"Xeon Platinum","Inspur NF5468M5","Inspur Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50329,179759
142,,54,142,,"Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet","Service Provider T",Inspur,China,2019,Industry,48160,44800,2078,4225.2,1387000,,,,,,Cluster,"Xeon Platinum 8163 24C 2.5GHz","Intel Skylake",2500,Linux,Linux,"NVIDIA Tesla V100",24,"Xeon Platinum","Inspur NF5468M5","Inspur Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50329,179760
143,,54,143,,"Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet","Service Provider T",Inspur,China,2019,Industry,48160,44800,2078,4225.2,1387000,,,,,,Cluster,"Xeon Platinum 8163 24C 2.5GHz","Intel Skylake",2500,Linux,Linux,"NVIDIA Tesla V100",24,"Xeon Platinum","Inspur NF5468M5","Inspur Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50329,179761
144,,54,144,Cannon,"ThinkSystem SD650, Xeon Platinum 8268 24C 2.9GHz, InfiniBand HDR100","Harvard University",Lenovo,"United States",2019,Academic,32160,,2076.89,2984.448,3894144,,,,,,Cluster,"Xeon Platinum 8268 24C 2.9GHz","Intel Cascade lake",2900,Linux,Linux,None,24,"Xeon Platinum 82xx (Cascade Lake)","ThinkSystem SD650","Lenovo ThinkSystem",Infiniband,"InfiniBand HDR100","North America",Americas,47974,179740
145,,54,145,,"Inspur NF5468M5, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 10G Ethernet","Telecom Company",Inspur,China,2019,Industry,59760,57600,2075,5245.776,1573000,,,,,,Cluster,"Xeon Gold 5118 12C 2.3GHz","Intel Skylake",2300,CentOS,Linux,"NVIDIA Tesla V100",12,"Xeon Gold","Inspur NF5468M5","Inspur Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50591,179798
146,118,53,118,"JD I1","ThinkSystem SR650, Xeon Gold 6148 20C 2.4GHz, 10G Ethernet","Internet Company",Lenovo,China,2018,Industry,52320,,2074.04,4018.176,5011200,,,,,,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,Linux,Linux,None,20,"Xeon Gold","ThinkSystem SR650","Lenovo ThinkSystem","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50598,179661
147,119,44,21,"Tianhe-2 LvLiang Solution","Tianhe-2 LvLiang, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Intel Xeon Phi 31S1P","LvLiang Cloud Computing Center",NUDT,China,2014,Industry,174720,153216,2071.39,3074.5344,2366976,,37.615,997,Submitted,2.078,Cluster,"Intel Xeon E5-2692v2 12C 2.2GHz","Intel IvyBridge",2200,"Kylin Linux",Linux,"Intel Xeon Phi 31S1P",12,"Intel Xeon E5 (IvyBridge)","Tianhe-2 LvLiang","Tianhe-2 LvLiang","Custom Interconnect","TH Express-2","Eastern Asia",Asia,50546,178464
148,,54,148,,"ThinkSystem SR650, Xeon Gold 6142 16C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR",Government,Lenovo,China,2019,Government,44160,36800,2059.88,3862.252,2101248,,,,,,Cluster,"Xeon Gold 6142 16C 2.6GHz","Intel Skylake",2600,Linux,Linux,"NVIDIA Tesla V100",16,"Xeon Gold","ThinkSystem SR650","Lenovo ThinkSystem",Infiniband,"Infiniband EDR","Eastern Asia",Asia,50774,179741
149,,54,149,,"ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 10G Ethernet","DJIT Company",Lenovo,China,2019,Industry,49200,,2045.93,3936,4859520,,,,,,Cluster,"Xeon Gold 6248 20C 2.5GHz","Intel Cascade lake",2500,Linux,Linux,None,20,"Xeon Gold 62xx (Cascade Lake)","ThinkSystem SR650","Lenovo ThinkSystem","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50787,179751
150,,54,150,,"INSPUR NF5288M5, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet","Internet Service (B)",Inspur,China,2019,Industry,53040,49920,2028,4648.176,1464000,,,,,,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,Linux,Linux,"NVIDIA Tesla V100",20,"Xeon Gold","INSPUR NF5288M5","Inspur Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50330,179763
151,,54,151,,"INSPUR NF5288M5, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet","Internet Service (B)",Inspur,China,2019,Industry,53040,49920,2028,4648.176,1464000,,,,,,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,Linux,Linux,"NVIDIA Tesla V100",20,"Xeon Gold","INSPUR NF5288M5","Inspur Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50330,179797
152,,54,152,,"Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet","Telecom Company",Sugon,China,2019,Industry,55440,,2026,4080.384,3564000,,,590,Submitted,3.434,Cluster,"Xeon Gold 6140 18C 2.3GHz","Intel Skylake",2300,CentOS,Linux,None,18,"Xeon Gold","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50591,179785
153,120,53,120,J1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet","Service Provider T",Lenovo,China,2019,Industry,48000,,2014.46,3840,4800000,,,,,,Cluster,"Xeon Gold 6133 20C 2.5GHz","Intel Skylake",2500,Linux,Linux,None,20,"Xeon Gold","ThinkSystem HR650X","Lenovo ThinkSystem","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50329,179650
154,121,53,121,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet","Internet Company",Sugon,China,2019,Industry,110880,,2007,8160.768,6172000,,,1470,Submitted,1.365,Cluster,"Xeon Gold 5118 12C 2.3GHz","Intel Skylake",2300,Linux,Linux,None,12,"Xeon Gold","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50743,179677
155,,54,155,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 25G Ethernet","Internet Company",Sugon,China,2019,Industry,42312,39360,2003,3693.542,493000,,,250,Submitted,8.012,Cluster,"Xeon Gold 5118 12C 2.3GHz","Intel Skylake",2300,CentOS,Linux,"NVIDIA Tesla V100",12,"Xeon Gold","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50598,179731
156,122,51,86,Koehr,"HPE SGI 8600, Xeon Platinum 8168 24C 2.7GHz, Intel Omni-Path","Navy DSRC",HPE,"United States",2018,Government,34560,,2001.99,2985.984,3870720,,,,,,Cluster,"Xeon Platinum 8168 24C 2.7GHz","Intel Skylake",2700,"Red Hat Enterprise Linux",Linux,None,24,"Xeon Platinum","HPE SGI 8600","HPE SGI 8600",Omnipath,"Intel Omni-Path","North America",Americas,50425,179427
157,123,51,85,Gaffney,"HPE SGI 8600, Xeon Platinum 8168 24C 2.7GHz, Intel Omni-Path","Navy DSRC",HPE,"United States",2018,Government,34560,,2001.99,2985.984,3870720,,,,,,Cluster,"Xeon Platinum 8168 24C 2.7GHz","Intel Skylake",2700,"Red Hat Enterprise Linux",Linux,None,24,"Xeon Platinum","HPE SGI 8600","HPE SGI 8600",Omnipath,"Intel Omni-Path","North America",Americas,50425,179428
158,124,52,95,"Grand Chariot","PRIMERGY CX2550 M4 M4, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path","Information Initiative Center, Hokkaido University",Fujitsu,Japan,2018,Academic,39760,,2000,3053.568,5752696,,33.318,,,,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,Linux,Linux,None,20,"Xeon Gold","PRIMERGY CX2550 M4/CX2560 M4/CX2570 M4","Fujitsu PRIMERGY",Omnipath,"Intel Omni-Path","Eastern Asia",Asia,50367,179445
159,,54,159,"A64FX prototype","Fujitsu A64FX, Fujitsu A64FX 48C 2GHz, Tofu interconnect D","Fujitsu Numazu Plant",Fujitsu,Japan,2019,Vendor,36864,,1999.5,2359.296,1576960,,,118.48,Submitted,16.876,Cluster,"Fujitsu A64FX 48C 2GHz","Fujitsu ARM",2000,Linux,Linux,None,48,"Fujitsu A64FX","Fujitsu A64FX","Fujitsu Cluster","Proprietary Network","Tofu interconnect D","Eastern Asia",Asia,50811,179706
160,125,52,96,TTSystem,"Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet","Internet Service (B)",Sugon,China,2018,Industry,116600,,1997,4104.32,8069000,,,1200,Submitted,1.664,Cluster,"Xeon E5-2630v4 10C 2.2GHz","Intel Broadwell",2200,CentOS,Linux,None,10,"Intel Xeon E5 (Broadwell)","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50330,179544
161,,54,161,,"Sugon TC6000, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR","Chengdu SC Center",Sugon,China,2019,Industry,520000,,1985,39936,3274000,,,510,Submitted,3.892,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,CentOS,Linux,None,20,"Xeon Gold","Sugon TC6000","Sugon Cluster",Infiniband,"Infiniband EDR","Eastern Asia",Asia,50815,179732
162,126,53,126,K1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet","Service Provider T",Lenovo,China,2019,Industry,47200,,1983.15,3776,4759680,,,,,,Cluster,"Xeon Gold 6133 20C 2.5GHz","Intel Skylake",2500,Linux,Linux,None,20,"Xeon Gold","ThinkSystem HR650X","Lenovo ThinkSystem","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50329,179649
163,127,52,97,Gaïa,"Bull intel Cluster, Xeon Gold 6140 18C 2.3GHz, Intel Omni-Path",EDF,Atos,France,2018,Industry,41472,,1980.53,3052.339,4451328,,,512,Submitted,3.868,Cluster,"Xeon Gold 6140 18C 2.3GHz","Intel Skylake",2300,"Calibre OS",Linux,None,18,"Xeon Gold","Bull intel Cluster","Bull Cluster",Omnipath,"Intel Omni-Path","Western Europe",Europe,50679,179569
164,128,52,98,HKVDPSystem,"Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet","Internet Company",Sugon,China,2018,Industry,121920,,1979,4096.512,6769000,,,1216,Submitted,1.627,Cluster,"Xeon E5-2620v4 8C 2.1GHz","Intel Broadwell",2100,Linux,Linux,None,8,"Intel Xeon E5 (Broadwell)","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50707,179532
165,129,53,129,HKVDPSystem,"Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet","IT Service Provider",Sugon,China,2018,Industry,121920,,1979,4096.512,6769000,,,1216,Submitted,1.627,Cluster,"Xeon E5-2620v4 8C 2.1GHz","Intel Broadwell",2100,Linux,Linux,None,8,"Intel Xeon E5 (Broadwell)","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50710,179679
166,130,53,130,bsystem,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet","Internet Company",Sugon,China,2019,Industry,60800,,1976,4085.76,4848000,,,660,Submitted,2.994,Cluster,"Xeon Gold 6130 16C 2.1GHz","Intel Skylake",2100,CentOS,Linux,None,16,"Xeon Gold","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50743,179671
167,,54,167,,"ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, Myrinet 10G","DJIT Company",Lenovo,China,2019,Industry,89600,,1975.07,6594.56,7332096,,,,,,Cluster,"Xeon Gold 5218 16C 2.3GHz","Intel Skylake",2300,Linux,Linux,None,16,"Xeon Gold","ThinkSystem SR590","Lenovo ThinkSystem",Myrinet,"Myrinet 10G","Eastern Asia",Asia,50787,179756
168,,54,168,,"Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, Infiniband EDR","Internet Service (S)",Inspur,China,2019,Industry,45152,43520,1975,4010.477,1367000,,,,,,Cluster,"Xeon Gold 6146 12C 3.2GHz","Intel Skylake",3200,Linux,Linux,"NVIDIA Tesla V100",12,"Xeon Gold","Inspur NF5468M5","Inspur Cluster",Infiniband,"Infiniband EDR","Eastern Asia",Asia,50817,179762
169,,54,169,,"Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, 25G Ethernet","Service Provider T",Inspur,China,2019,Industry,45152,43520,1975,4010.477,1367000,,,,,,Cluster,"Xeon Gold 6146 12C 3.2GHz","Intel Skylake",3200,Linux,Linux,"NVIDIA Tesla V100",12,"Xeon Gold","Inspur NF5468M5","Inspur Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50329,179764
170,,54,170,,"Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, 25G Ethernet","Service Provider T",Inspur,China,2019,Industry,45152,43520,1975,4010.477,1367000,,,,,,Cluster,"Xeon Gold 6146 12C 3.2GHz","Intel Skylake",3200,Linux,Linux,"NVIDIA Tesla V100",12,"Xeon Gold","Inspur NF5468M5","Inspur Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50329,179765
171,131,48,265,"Mogon II","NEC Cluster, Xeon Gold 6130 16C 2.1GHz, MEGWARE MiriQuid Xeon E5-2630v4, Intel Omni-Path","Universitaet Mainz",NEC/MEGWARE,Germany,2017,Academic,49432,,1967.81,2800.86998,3179520,888000,,657,Submitted,2.995,Cluster,"Xeon Gold 6130 16C 2.1GHz","Intel Skylake",2100,CentOS,Linux,None,16,"Xeon Gold","NEC Cluster","NEC Cluster",Omnipath,"Intel Omni-Path","Western Europe",Europe,49102,178930
172,132,48,156,Biowulf,"Apollo 2000 Gen 8/9, Xeon E5-2680v4/E5-2695v3 14C 2.4GHz, Infiniband FDR","National Institutes of Health (NIH)",HPE,"United States",2016,Research,66304,,1966.08,2491.3728,4260672,,,,,,Cluster,"Xeon E5-2680v4 14C 2.4GHz","Intel Broadwell",2400,Linux,Linux,None,14,"Intel Xeon E5 (Broadwell)","Apollo 2000","HP Apollo",Infiniband,"Infiniband FDR","North America",Americas,50698,179027
173,,54,173,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 25G Ethernet, NVIDIA Tesla V100","Energy Company",Sugon,China,2019,Industry,41280,38400,1963,3603.456,487000,,,245,Submitted,8.012,Cluster,"Xeon Gold 5118 12C 2.3GHz","Intel Skylake",2300,CentOS,Linux,"NVIDIA Tesla V100",12,"Xeon Gold","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50417,179783
174,,54,174,,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 25G Ethernet","Telecom Company",Sugon,China,2019,Industry,47600,,1955,3960.32,3744000,,,650,Submitted,3.008,Cluster,"Xeon Gold 6132 14C 2.6GHz","Intel Skylake",2600,CentOS,Linux,None,14,"Xeon Gold","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","25G Ethernet","Eastern Asia",Asia,50591,179784
175,,54,175,,"Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet","State Grid Corp",Sugon,China,2019,Industry,53280,,1952,3921.408,3494000,,,570,Submitted,3.425,Cluster,"Xeon Gold 6140 18C 2.3GHz","Intel Skylake",2300,CentOS,Linux,None,18,"Xeon Gold","Sugon TC6000","Sugon Cluster","Gigabit Ethernet","10G Ethernet","Eastern Asia",Asia,50610,179786
