Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
89,"SP Power3 375 MHz,                 IBM                NOAA R&D/ National Centers for Environmental PredictionUnited States",1104,1179.0,1656.0,
90,"xSeries Cluster Xeon 2.4 GHz - Gig-E,                 IBM                Public SectorChina",622,1175.19,2985.6,
91,"pSeries 690 1.1GHz,                 IBM                CSC (Center for Scientific Computing)Finland",512,1170.0,2253.0,
92,"pSeries 690 1.1GHz,                 IBM                Florida State UniversityUnited States",512,1170.0,2253.0,
93,"Opteron 1.8 GHz, Gig Ethernet,                 Visual Technology                Doshisha UniversityJapan",512,1169.0,1843.2,
94,"T3E1200,                 Cray/HPE                GovernmentUnited States",1900,1166.0,2280.0,
95,"T3E1200/900,                 Cray/HPE                ERDC DSRCUnited States",1792,1166.0,1999.0,
96,"xSeries Xeon 2.8 GHz, Gig-Ethernet,                 IBM                Semiconductor Company (C)United States",602,1146.35,3371.2,
97,"xSeries Xeon 2.8 GHz, Gig-Ethernet,                 IBM                Semiconductor Company (D)Israel",600,1143.46,3360.0,
98,"SGI Altix 1.5 GHz,                 HPE                DOE/SC/Oak Ridge National LaboratoryUnited States",256,1142.0,1536.0,
99,"SGI Altix 1.3 GHz,                 HPE                CSAR at the University of ManchesterUnited Kingdom",256,1142.0,1331.2,
100,"SGI Altix 1.3 GHz,                 HPE                NASA/Ames Research Center/NASUnited States",256,1142.0,1331.2,
